index,project,body,methodName,relativePath,absolutePath,javaDoc,spanMethod,coverage,tokensPerMethod,tokensFirstLine,javaDocFirstSentence,perturbed_eval_1,pegasusPerturbed,pegagusPerturbedEntropy,pivotingPerturbed
1,cdk,"static AtomTypePattern[] loadPatterns(InputStream smaIn) throws IOException{
    List<AtomTypePattern> matchers = new ArrayList<AtomTypePattern>();
    BufferedReader br = new BufferedReader(new InputStreamReader(smaIn));
    String line = null;
    while ((line = br.readLine()) != null) {
        if (skipLine(line))
            continue;
        String[] cols = line.split("" "");
        String sma = cols[0];
        String symb = cols[1];
        try {
            matchers.add(new AtomTypePattern(SmartsPattern.create(sma).setPrepare(false), symb));
        } catch (IllegalArgumentException ex) {
            throw new IOException(ex);
        }
    }
    return matchers.toArray(new AtomTypePattern[matchers.size()]);
}",loadPatterns,org/openscience/cdk/forcefield/mmff/MmffAtomTypeMatcher.java,/tool/forcefield/src/main/java/org/openscience/cdk/forcefield/mmff/MmffAtomTypeMatcher.java,"/**
     * Internal - load the SMARTS patterns for each atom type from MMFFSYMB.sma.
     *
     * @param smaIn input stream of MMFFSYMB.sma
     * @return array of patterns
     * @throws IOException
     */",215-241,"('loadPatterns', {'INSTRUCTION': {'covered': 62, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 14, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",154.0,13.0,Internal - load the SMARTS patterns for each atom type from MMFFSYMB., Internal - for each type of atom from MMFFSYMB.sma loads the SMARTS models.,Load the patterns for each atom type from MMFFSYMB.,0.393088244380532,  Internal - load SMARTS models for each type of atom from MMFFSYMB.
3,dcache,"private static String toGroupName(String attribute){
    int pos = attribute.indexOf(';');
    if (pos > -1) {
        attribute = attribute.substring(0, pos);
    }
    return attribute.replace(""X"", ""XX"").replace(""."", ""X"");
}",toGroupName,org/dcache/services/billing/text/BillingParserBuilder.java,/modules/dcache/src/main/java/org/dcache/services/billing/text/BillingParserBuilder.java,"/**
     * Translates a attribute name into a name suitable for a named capturing group.
     */",252-261,"('toGroupName', {'INSTRUCTION': {'covered': 15, 'missed': 5}, 'BRANCH': {'covered': 1, 'missed': 1}, 'LINE': {'covered': 3, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",57.0,14.0,Translates a attribute name into a name suitable for a named capturing group.," Given an attribute name as input, it translates an attribute name into a name suitable  for a named capturing group.",A name is translated into a name suitable for a group.,0.0938992682120705,  Translates an attribute name into a name that is appropriate for a named capture group.
4,matsim-libs," void revisitNode(final Node n, final DijkstraNodeData data, final RouterPriorityQueue<Node> pendingNodes, final double time, final double cost, final Link outLink){
    pendingNodes.remove(n);
    data.visit(outLink, cost, time, getIterationId());
    pendingNodes.add(n, getPriority(data));
}",revisitNode,org/matsim/pt/router/TransitLeastCostPathTree.java,/matsim/src/main/java/org/matsim/pt/router/TransitLeastCostPathTree.java,"/**
	 * Changes the position of the given Node n in the pendingNodes queue and
	 * updates its time and cost information.
	 *
	 * @param n
	 *            The Node that is revisited.
	 * @param data
	 *            The data for n.
	 * @param pendingNodes
	 *            The nodes visited and not processed yet.
	 * @param time
	 *            The time of the visit of n.
	 * @param cost
	 *            The accumulated cost at the time of the visit of n.
	 * @param outLink
	 *            The link from which we came visiting n.
	 */",482-506,"('revisitNode', {'INSTRUCTION': {'covered': 19, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",66.0,20.0,Changes the position of the given Node n in the pendingNodes queue and  updates its time and cost information., Updates time and cost information as node node location changes.   The parameter outLink is the link through which we came to visit n.,The given Node n is in the pendingNodes queue and can be changed.,1.1552558115937,  Changes the position of the given node n in the pendingNodes queue and updates its time and cost information.
5,cdk,"private static int[] insert(int v, int[] vs){
    final int n = vs.length;
    final int[] ws = Arrays.copyOf(vs, n + 1);
    ws[n] = v;
    for (int i = n; i > 0 && ws[i] < ws[i - 1]; i--) {
        int tmp = ws[i];
        ws[i] = ws[i - 1];
        ws[i - 1] = tmp;
    }
    return ws;
}",insert,org/openscience/cdk/smiles/BeamToCDK.java,/storage/smiles/src/main/java/org/openscience/cdk/smiles/BeamToCDK.java,"/**
     * Insert the vertex 'v' into sorted position in the array 'vs'.
     *
     * @param v  a vertex (int id)
     * @param vs array of vertices (int ids)
     * @return array with 'u' inserted in sorted order
     */",581-602,"('insert', {'INSTRUCTION': {'covered': 48, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 8, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",109.0,15.0,Insert the vertex 'v' into sorted position in the array 'vs'., Starting from the array 'vs' insert the vertex 'v' in ordinal position.,The array 'vs' has the 'v' inserted into it.,1.07879688690664,  Insert the vertex 'v' in the sorted position in the 'vs' table.
6,acs-aem-commons,"private void createOrUpdateNodesForJsonObject(final ResourceResolver remoteAssetsResolver, final String key, final Resource parentResource) throws IOException, RepositoryException{
    if (PROTECTED_NODES.contains(key)) {
        return;
    }
    String objectPath = String.format(""%s/%s"", parentResource.getPath(), key);
    JsonObject jsonObjectWithChildren = getJsonFromUri(objectPath);
    String resourcePrimaryType = jsonObjectWithChildren.getAsJsonPrimitive(JcrConstants.JCR_PRIMARYTYPE).getAsString();
    Resource resource = getOrCreateNode(remoteAssetsResolver, objectPath, resourcePrimaryType);
    createOrUpdateNodes(remoteAssetsResolver, jsonObjectWithChildren, resource);
    ValueMap resourceProperties = resource.adaptTo(ModifiableValueMap.class);
    if (DamConstants.NT_DAM_ASSET.equals(parentResource.getValueMap().get(JcrConstants.JCR_PRIMARYTYPE, String.class)) && DamConstants.NT_DAM_ASSETCONTENT.equals(resourceProperties.get(JcrConstants.JCR_PRIMARYTYPE, String.class))) {
        resourceProperties.put(RemoteAssets.IS_REMOTE_ASSET, true);
        LOG.trace(""Property '{}' added for resource '{}'."", RemoteAssets.IS_REMOTE_ASSET, resource.getPath());
        this.saveRefreshCount++;
        if (this.saveRefreshCount == this.remoteAssetsConfig.getSaveInterval()) {
            this.saveRefreshCount = 0;
            remoteAssetsResolver.commit();
            remoteAssetsResolver.refresh();
            LOG.info(""Executed incremental save of node sync."");
        }
    }
}",createOrUpdateNodesForJsonObject,com/adobe/acs/commons/remoteassets/impl/RemoteAssetsNodeSyncImpl.java,/bundle/src/main/java/com/adobe/acs/commons/remoteassets/impl/RemoteAssetsNodeSyncImpl.java,"/**
     * Handler for when a JSON element is an Object, representing a resource.
     *
     * @param key String
     * @param parentResource Resource
     * @throws IOException exception
     * @throws RepositoryException exception
     */",208-242,"('createOrUpdateNodesForJsonObject', {'INSTRUCTION': {'covered': 95, 'missed': 0}, 'BRANCH': {'covered': 7, 'missed': 1}, 'LINE': {'covered': 19, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",232.0,14.0,"Handler for when a JSON element is an Object, representing a resource.", Handler used when a resource is represented by an Object that is a JSON element.   ,"When a resource is represented by an object, the handler is needed.",0.19668287806293,"  Handler when a JSON element is an object, representing a resource."
7,twilio-java,"public static Workflow fromJson(String json) throws IOException{
    ObjectMapper mapper = new ObjectMapper();
    return mapper.readValue(json, Workflow.class);
}",fromJson,com/twilio/taskrouter/Workflow.java,/src/main/java/com/twilio/taskrouter/Workflow.java,"/**
     * Converts a JSON workflow configuration to a workflow object.
     *
     * @param json JSON for workflow
     * @return a workflow rule target object
     * @throws IOException if unable to create object
     */",55-65,"('fromJson', {'INSTRUCTION': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",32.0,10.0,Converts a JSON workflow configuration to a workflow object.,Converts a JSON workflow configuration to a workflow object.,A configuration is converted to a object.,0.170327249771777,  Converts a JSON workflow configuration to a workflow object.
8,jeromq,"public long timeout(){
    if (tickets.isEmpty()) {
        return -1;
    }
    sortIfNeeded();
    Ticket first = tickets.get(0);
    return first.start - now() + first.delay;
}",timeout,org/zeromq/timer/ZTicket.java,/src/main/java/org/zeromq/timer/ZTicket.java,"/**
     * Returns the time in millisecond until the next ticket.
     * @return the time in millisecond until the next ticket.
     */",160-173,"('timeout', {'INSTRUCTION': {'covered': 23, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",48.0,10.0,Returns the time in millisecond until the next ticket.,The time until the next ticket is returned in milliseconds. Return the time in millisecond until the next ticket.,The time is returned in a second.,0.274892268365893,  Returns the time in milliseconds to the next ticket.
9,weblogic-kubernetes-operator,"public void useKubernetesVersion(String version) throws IOException{
    KubernetesSchemaReference reference = KubernetesSchemaReference.create(version);
    URL cacheUrl = reference.getKubernetesSchemaCacheUrl();
    if (cacheUrl == null) {
        throw new IOException(""No schema cached for Kubernetes "" + version);
    }
    addExternalSchema(reference.getKubernetesSchemaUrl(), cacheUrl);
}",useKubernetesVersion,oracle/kubernetes/json/SchemaGenerator.java,/json-schema-generator/src/main/java/oracle/kubernetes/json/SchemaGenerator.java,"/**
   * Specifies the version of the Kubernetes schema to use.
   *
   * @param version a Kubernetes version string, such as ""1.9.0""
   * @throws IOException if no schema for that version is cached.
   */",97-111,"('useKubernetesVersion', {'INSTRUCTION': {'covered': 20, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 6, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",58.0,10.0,Specifies the version of the Kubernetes schema to use.,"Show the version of the Kubernetes schema to be used. Indicate a  Kubernetes version string, for example ""1.8.0""  and return IOException if no schema exists in the cached for the given version.",The version of the Kubernetes schema that is used is specified.,0.311401150484418,  Specifies the version of the Kubernetes schema to use.
10,dcache,"public synchronized void addCacheEntry(CacheEntry entry) throws CacheException, InterruptedException{
    FileAttributes fileAttributes = entry.getFileAttributes();
    String storageClass = fileAttributes.getStorageClass();
    String hsmName = fileAttributes.getHsm().toLowerCase();
    String composedName = storageClass + ""@"" + hsmName;
    StorageClassInfo classInfo = _storageClasses.get(composedName);
    if (classInfo == null) {
        classInfo = new StorageClassInfo(_storageHandler, hsmName, storageClass);
        StorageClassInfo tmpInfo = _storageClasses.get(""*@"" + hsmName);
        if (tmpInfo != null) {
            classInfo.setExpiration(tmpInfo.getExpiration());
            classInfo.setPending(tmpInfo.getPending());
            classInfo.setMaxSize(tmpInfo.getMaxSize());
            classInfo.setOpen(tmpInfo.isOpen());
        }
        _storageClasses.put(composedName, classInfo);
    }
    classInfo.add(entry);
    _pnfsIds.put(entry.getPnfsId(), classInfo);
}",addCacheEntry,org/dcache/pool/classic/StorageClassContainer.java,/modules/dcache/src/main/java/org/dcache/pool/classic/StorageClassContainer.java,"/**
     * adds a CacheEntry to the list of HSM storage requests.
     *
     * @param entry
     */",157-190,"('addCacheEntry', {'INSTRUCTION': {'covered': 72, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 18, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",177.0,11.0,adds a CacheEntry to the list of HSM storage requests.,based on the storage requests HSM adds a ChacheEntry .,The list of storage requests has a cache entry added.,0.313729244562084,  Adds a CacheEntry to the list of HSM storage requests.
11,cdk,"private static int findPrefix(Trie trie, String string, int i, int best){
    if (trie == null)
        return best;
    if (trie.token != null)
        best = i;
    if (i == string.length())
        return best;
    final char c = norm(string.charAt(i));
    if (c > 128)
        return best;
    return findPrefix(trie.children[c], string, i + 1, best);
}",findPrefix,org/openscience/cdk/renderer/generators/standard/AbbreviationLabel.java,/display/renderbasic/src/main/java/org/openscience/cdk/renderer/generators/standard/AbbreviationLabel.java,"/**
     * Find the longest prefix from position (i) in this string that
     * is present in the trie symbol table.
     *
     * @param trie   trie node (start with root)
     * @param string string to find a prefix of
     * @param i      the position in the string
     * @param best   best score so far (-1 to start)
     * @return the length of the prefix
     */",404-425,"('findPrefix', {'INSTRUCTION': {'covered': 36, 'missed': 0}, 'BRANCH': {'covered': 8, 'missed': 0}, 'LINE': {'covered': 10, 'missed': 0}, 'COMPLEXITY': {'covered': 5, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",95.0,21.0,Find the longest prefix from position (i) in this string that  is present in the trie symbol table.,"Find, within the trie symbol table, the longest prefix from position (i).  ",The trie symbol table has a string that is the longest from position i.,0.32955872235036,  Look for the longest prefix of position (i) in this string in the sort symbol table.
